Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
NIFTY Airlines/Logistics,CONCOR,528.85,-8.54,530.80,1.95,95.31,94.06,0.56,0.54,1.25,0.02
NIFTY Airlines/Logistics,DELHIVERY,469.15,10.32,472.05,2.90,93.73,87.03,0.38,0.43,6.69,-0.05
NIFTY Airlines/Logistics,IRCTC,699.65,-3.64,702.15,2.50,95.11,93.53,0.51,0.66,1.59,-0.15
NIFTY Airlines/Logistics,TATATECH,662.15,-5.71,665.40,3.25,95.68,92.84,0.53,-0.75,2.84,1.28
NIFTY Airlines/Logistics,TITAGARH,840.35,-2.30,843.95,3.60,90.89,85.48,0.36,0.12,5.41,0.23
NIFTY Auto,ASHOKLEY,129.82,7.24,130.26,0.44,95.78,92.43,0.51,-0.05,3.35,0.56
NIFTY Auto,BHARATFORG,1124.60,-3.81,1128.50,3.90,81.12,90.82,0.43,0.01,-9.71,0.41
NIFTY Auto,BOSCHLTD,39225.00,-2.87,39370.00,145.00,87.91,91.91,0.68,0.35,-3.99,0.32
NIFTY Auto,EICHERMOT,6133.00,12.15,6163.50,30.50,87.77,89.86,0.64,0.36,-2.10,0.28
NIFTY Auto,EXIDEIND,394.00,2.52,395.35,1.35,95.13,93.93,0.61,0.56,1.20,0.05
NIFTY Auto,HEROMOTOCO,5091.70,19.50,5107.80,16.10,83.03,92.85,0.06,0.10,-9.82,-0.05
NIFTY Auto,MARUTI,14752.00,17.01,14813.00,61.00,63.38,87.21,0.64,0.27,-23.83,0.37
NIFTY Auto,MOTHERSON,92.11,-5.21,92.55,0.44,97.78,94.28,0.52,0.53,3.50,-0.01
NIFTY Auto,SONACOMS,450.35,0.18,453.25,2.90,93.67,90.50,0.69,-0.47,3.17,1.16
NIFTY Auto,TATAMOTORS,675.45,1.43,678.35,2.90,94.38,92.22,0.63,0.55,2.16,0.08
NIFTY Auto,TIINDIA,2943.40,3.62,2962.10,18.70,97.00,90.17,0.44,0.64,6.83,-0.20
NIFTY Auto,TVSMOTOR,3256.00,16.21,3277.40,21.40,93.84,86.82,0.61,0.39,7.03,0.22
NIFTY Auto,UNOMINDA,1295.60,24.41,1301.70,6.10,91.59,90.54,0.18,0.50,1.05,-0.33
NIFTY Aviation,INDIGO,5727.00,-3.10,5747.50,20.50,94.76,94.63,0.28,0.45,0.12,-0.17
NIFTY Bank,AUBANK,729.25,-1.65,733.65,4.40,97.14,91.37,0.52,-0.74,5.77,1.26
NIFTY Bank,INDUSINDBK,746.60,-6.55,751.10,4.50,94.61,89.70,0.53,0.58,4.91,-0.05
NIFTY Consumer Durables,AMBER,7254.00,-8.91,7279.50,25.50,79.11,94.93,0.69,0.41,-15.82,0.28
NIFTY Consumer Durables,ASIANPAINT,2489.00,3.88,2503.60,14.60,91.72,90.86,0.60,0.46,0.85,0.14
NIFTY Consumer Durables,ASTRAL,1361.80,-2.81,1365.90,4.10,97.11,93.47,0.57,0.41,3.64,0.15
NIFTY Consumer Durables,BLUESTARCO,1880.10,8.17,1890.50,10.40,91.36,78.18,0.35,-0.14,13.18,0.49
NIFTY Consumer Durables,CROMPTON,324.05,0.33,325.20,1.15,98.91,98.14,0.57,0.43,0.77,0.14
NIFTY Consumer Durables,DIXON,16678.00,-0.97,16768.00,90.00,96.94,87.78,0.62,0.40,9.16,0.22
NIFTY Consumer Durables,HAVELLS,1519.40,1.25,1527.50,8.10,97.42,89.18,0.52,0.54,8.25,-0.02
NIFTY Consumer Durables,KALYANKJIL,510.15,-14.22,511.30,1.15,83.52,84.66,0.06,0.17,-1.13,-0.11
NIFTY Consumer Durables,PGEL,541.25,-33.31,544.00,2.75,91.69,97.11,0.59,0.70,-5.42,-0.11
NIFTY Consumer Durables,PIDILITIND,3062.90,6.73,3075.80,12.90,97.77,94.24,0.65,0.40,3.53,0.24
NIFTY Consumer Durables,POLYCAB,7106.50,4.19,7134.50,28.00,93.84,88.75,0.49,0.57,5.09,-0.07
NIFTY Consumer Durables,SUPREMEIND,4506.50,4.63,4522.70,16.20,96.93,89.28,0.58,0.52,7.66,0.06
NIFTY Consumer Durables,TITAN,3637.70,8.68,3651.00,13.30,89.49,95.14,0.31,0.49,-5.64,-0.18
NIFTY Consumer Durables,VOLTAS,1359.30,2.38,1337.00,-22.30,96.15,85.25,-1.51,0.32,10.90,-1.83
NIFTY Defense,BDL,1428.90,-11.74,1437.40,8.50,95.43,88.76,0.62,0.60,6.68,0.02
NIFTY Defense,BEL,363.85,-5.02,365.20,1.35,94.67,92.24,0.54,0.49,2.43,0.04
NIFTY Defense,HAL,4344.70,-4.17,4370.50,25.80,95.12,93.17,0.55,0.56,1.95,-0.00
NIFTY Defense,MAZDOCK,2628.10,-5.16,2639.70,11.60,95.81,91.66,0.51,0.60,4.15,-0.09
NIFTY Diversified,ADANIPORTS,1315.40,-4.20,1324.00,8.60,93.53,91.96,0.50,0.47,1.56,0.04
NIFTY Diversified,PIIND,3708.80,-12.75,3731.60,22.80,85.28,93.80,0.47,0.44,-8.52,0.03
NIFTY Energy,ADANIENSOL,770.95,-4.63,774.05,3.10,96.10,94.84,0.48,0.63,1.27,-0.15
NIFTY Energy,ADANIGREEN,921.15,-6.45,925.30,4.15,97.04,91.95,0.65,0.42,5.09,0.22
NIFTY Energy,BPCL,310.70,-5.65,312.80,2.10,86.11,84.37,0.53,0.37,1.74,0.16
NIFTY Energy,COALINDIA,374.30,-0.54,376.00,1.70,95.39,91.09,0.57,0.30,4.30,0.27
NIFTY Energy,JSWENERGY,497.65,-3.38,499.70,2.05,98.22,95.41,0.53,0.55,2.81,-0.02
NIFTY Energy,NHPC,78.34,-5.90,78.73,0.39,86.96,84.80,0.41,0.35,2.15,0.06
NIFTY Energy,NTPC,330.80,-1.03,328.80,-2.00,95.66,88.07,-0.56,0.66,7.59,-1.22
NIFTY Energy,POWERGRID,274.45,-5.69,275.60,1.15,92.68,88.30,0.53,0.42,4.38,0.10
NIFTY Energy,SUZLON,56.32,-8.57,56.57,0.25,90.01,0.00,0.51,0.00,90.01,0.51
NIFTY Energy,TATAPOWER,371.10,-6.70,372.80,1.70,95.68,94.87,0.55,0.57,0.82,-0.02
NIFTY Energy,TORNTPOWER,1248.30,-4.71,1252.50,4.20,86.77,91.63,0.62,0.41,-4.85,0.21
NIFTY FMCG,BRITANNIA,5721.00,-0.87,5752.50,31.50,96.06,92.13,0.47,0.28,3.92,0.19
NIFTY FMCG,COLPAL,2262.70,0.77,2275.80,13.10,94.20,90.79,0.55,0.10,3.41,0.45
NIFTY FMCG,DABUR,513.85,-2.86,517.00,3.15,95.89,93.34,0.68,0.44,2.56,0.24
NIFTY FMCG,GODREJCP,1250.60,-0.67,1255.40,4.80,78.36,91.13,0.22,0.30,-12.77,-0.08
NIFTY FMCG,HINDUNILVR,2654.40,5.28,2664.60,10.20,89.11,90.38,0.58,0.52,-1.26,0.05
NIFTY FMCG,ITC,400.90,-2.68,402.95,2.05,92.12,92.26,0.66,0.61,-0.14,0.05
NIFTY FMCG,JUBLFOOD,635.55,-3.04,637.70,2.15,93.11,93.92,0.42,0.51,-0.81,-0.09
NIFTY FMCG,MARICO,711.60,0.25,713.85,2.25,98.77,93.30,0.57,0.30,5.47,0.27
NIFTY FMCG,NESTLEIND,1162.40,-48.28,1167.60,5.20,97.36,92.63,0.36,0.46,4.73,-0.10
NIFTY FMCG,PATANJALI,1769.80,-5.55,1774.40,4.60,97.89,93.80,0.44,0.61,4.09,-0.17
NIFTY FMCG,TATACONSUM,1062.40,-1.01,1067.80,5.40,97.52,93.23,0.60,0.50,4.29,0.10
NIFTY FMCG,TRENT,5235.50,4.33,5261.50,26.00,95.39,89.44,0.65,0.53,5.95,0.12
NIFTY FMCG,UNITDSPR,1281.50,-4.38,1288.60,7.10,96.41,93.58,0.62,0.46,2.83,0.16
NIFTY FMCG,VBL,497.70,-4.76,500.35,2.65,79.79,94.35,0.29,0.52,-14.56,-0.23
NIFTY Financial Services,360ONE,1043.90,-0.84,1046.30,2.40,64.61,72.49,0.24,0.63,-7.88,-0.39
NIFTY Financial Services,ABCAPITAL,277.45,8.10,278.60,1.15,94.41,93.14,0.72,0.50,1.26,0.22
NIFTY Financial Services,ANGELONE,2259.40,-13.13,2275.20,15.80,91.79,84.29,0.77,-2.45,7.50,3.22
NIFTY Financial Services,BAJAJFINSV,1917.60,-1.56,1926.20,8.60,97.10,87.03,0.38,0.60,10.08,-0.23
NIFTY Financial Services,BAJFINANCE,876.85,-0.49,880.70,3.85,97.57,95.11,0.67,0.47,2.47,0.20
NIFTY Financial Services,BSE,2178.40,-10.26,2188.60,10.20,84.90,81.51,0.62,-0.39,3.39,1.01
NIFTY Financial Services,CDSL,1452.00,-1.94,1457.60,5.60,94.61,90.81,0.48,-0.92,3.80,1.40
NIFTY Financial Services,CHOLAFIN,1439.80,-0.24,1447.80,8.00,97.34,89.93,0.49,0.15,7.41,0.35
NIFTY Financial Services,HDFCAMC,5582.00,-1.20,5621.50,39.50,76.47,92.22,0.64,0.35,-15.75,0.28
NIFTY Financial Services,HDFCLIFE,775.35,2.63,778.80,3.45,93.01,86.98,0.50,0.61,6.03,-0.12
NIFTY Financial Services,ICICIGI,1860.30,-3.46,1870.80,10.50,96.30,93.71,0.45,0.44,2.59,0.01
NIFTY Financial Services,ICICIPRULI,609.55,-1.04,612.65,3.10,90.81,92.79,0.48,0.55,-1.98,-0.08
NIFTY Financial Services,IEX,139.76,3.30,140.42,0.66,74.34,86.88,0.47,0.55,-12.54,-0.09
NIFTY Financial Services,IIFL,436.20,-8.74,437.60,1.40,96.66,89.66,0.48,0.57,7.00,-0.09
NIFTY Financial Services,JIOFIN,310.10,-5.82,312.10,2.00,95.23,93.34,0.53,0.64,1.89,-0.10
NIFTY Financial Services,KFINTECH,1050.00,-3.04,1053.00,3.00,96.66,96.25,0.41,-0.27,0.41,0.68
NIFTY Financial Services,LICHSGFIN,547.35,-6.60,550.75,3.40,89.37,93.56,0.66,0.38,-4.18,0.27
NIFTY Financial Services,LICI,869.50,-2.85,860.25,-9.25,86.52,83.72,-1.12,0.35,2.80,-1.47
NIFTY Financial Services,LTF,216.44,6.84,217.55,1.11,79.27,92.72,0.54,-0.85,-13.45,1.39
NIFTY Financial Services,MANAPPURAM,263.00,3.93,264.35,1.35,94.13,80.00,0.55,0.66,14.13,-0.11
NIFTY Financial Services,MCX,7401.50,-3.79,7426.00,24.50,92.11,87.82,0.51,0.55,4.29,-0.04
NIFTY Financial Services,MFSL,1608.70,7.15,1616.20,7.50,95.61,82.07,0.47,0.48,13.54,-0.01
NIFTY Financial Services,MUTHOOTFIN,2644.80,1.24,2657.00,12.20,69.77,81.70,0.65,0.23,-11.92,0.42
NIFTY Financial Services,NUVAMA,6549.00,-9.54,6586.50,37.50,84.52,0.00,0.51,0.00,84.52,0.51
NIFTY Financial Services,PAYTM,1230.80,12.98,1236.20,5.40,93.85,92.99,0.35,0.60,0.86,-0.25
NIFTY Financial Services,PFC,381.75,-6.88,382.95,1.20,95.38,93.02,0.52,0.24,2.37,0.28
NIFTY Financial Services,PNBHOUSING,767.05,-22.22,771.90,4.85,91.09,89.44,0.65,0.39,1.65,0.26
NIFTY Financial Services,POLICYBZR,1805.40,-0.37,1813.30,7.90,94.40,91.39,0.60,0.34,3.01,0.25
NIFTY Financial Services,RECLTD,354.90,-10.20,356.30,1.40,95.76,94.02,0.58,0.23,1.74,0.35
NIFTY Financial Services,SBICARD,803.60,-0.47,786.40,-17.20,90.96,91.70,-1.88,0.33,-0.74,-2.21
NIFTY Financial Services,SBILIFE,1816.80,-1.30,1827.50,10.70,94.81,84.80,0.47,0.67,10.00,-0.20
NIFTY Financial Services,SHRIRAMFIN,571.65,-9.38,575.50,3.85,96.01,92.96,0.49,0.54,3.05,-0.05
NIFTY Healthcare,APOLLOHOSP,7728.00,3.07,7778.50,50.50,89.85,90.88,0.60,0.57,-1.03,0.04
NIFTY Healthcare,FORTIS,911.40,6.29,915.00,3.60,91.88,91.16,0.66,0.42,0.73,0.25
NIFTY Healthcare,MAXHEALTH,1160.20,-6.89,1166.60,6.40,96.28,93.47,0.54,0.64,2.81,-0.10
NIFTY Healthcare,SYNGENE,629.20,-11.88,632.00,2.80,92.98,93.84,0.70,0.59,-0.87,0.11
NIFTY IT,CAMS,3657.70,-2.12,3668.40,10.70,94.34,86.14,0.50,-0.76,8.19,1.26
NIFTY IT,COFORGE,1737.20,-0.63,1742.00,4.80,92.64,88.23,0.29,0.49,4.41,-0.20
NIFTY IT,CYIENT,1176.60,-2.41,1181.10,4.50,96.32,90.62,0.52,0.18,5.70,0.34
NIFTY IT,HCLTECH,1449.80,-1.23,1456.00,6.20,95.98,88.14,0.52,0.15,7.84,0.38
NIFTY IT,INFY,1500.10,-0.59,1508.60,8.50,94.91,93.34,0.47,0.35,1.57,0.12
NIFTY IT,KPITTECH,1184.40,-3.42,1184.90,0.50,91.41,85.54,0.29,0.39,5.87,-0.10
NIFTY IT,LTIM,5123.00,0.33,5105.00,-18.00,94.66,87.46,-0.45,0.52,7.21,-0.97
NIFTY IT,MPHASIS,2831.80,1.49,2848.20,16.40,94.06,89.52,0.36,0.54,4.55,-0.18
NIFTY IT,OFSS,8370.50,-1.23,8406.50,36.00,96.73,82.83,0.58,0.56,13.90,0.02
NIFTY IT,PERSISTENT,5313.50,2.96,5337.50,24.00,93.75,83.68,0.53,0.59,10.07,-0.06
NIFTY IT,TATAELXSI,5338.00,-12.40,5349.00,11.00,84.70,92.11,0.44,-1.62,-7.41,2.06
NIFTY IT,TCS,3093.70,1.87,3111.70,18.00,94.22,92.32,0.65,0.34,1.90,0.31
NIFTY IT,TECHM,1495.60,2.18,1502.10,6.50,92.33,89.58,0.43,0.68,2.75,-0.25
NIFTY IT,WIPRO,250.65,0.95,248.72,-1.93,90.56,89.23,-0.84,0.09,1.33,-0.94
NIFTY Industrial,ABB,5000.50,-9.25,5018.00,17.50,94.92,94.94,0.48,0.47,-0.02,0.01
NIFTY Industrial,CGPOWER,664.00,0.35,666.55,2.55,98.20,90.26,0.54,0.58,7.95,-0.04
NIFTY Industrial,CUMMINSIND,3835.20,7.87,3830.20,-5.00,92.15,91.36,-0.02,0.50,0.79,-0.53
NIFTY Industrial,KEI,3863.50,0.50,3873.00,9.50,83.10,83.18,0.53,0.27,-0.08,0.26
NIFTY Industrial,SIEMENS,3043.20,0.32,3055.40,12.20,88.06,84.29,0.70,0.52,3.77,0.18
NIFTY Industrial,SOLARINDS,13813.00,-2.86,13861.00,48.00,95.52,89.47,0.51,0.41,6.04,0.10
NIFTY Industrial,SRF,2850.80,-6.25,2864.90,14.10,88.95,92.17,0.67,0.57,-3.22,0.10
NIFTY Infrastructure,AMBUJACEM,561.80,-5.21,563.40,1.60,96.35,94.15,0.55,0.59,2.20,-0.04
NIFTY Infrastructure,APLAPOLLO,1600.30,-0.06,1607.00,6.70,95.22,92.30,0.49,0.57,2.92,-0.07
NIFTY Infrastructure,BHEL,208.51,-12.56,209.70,1.19,94.68,91.82,0.51,0.43,2.87,0.08
NIFTY Infrastructure,DALBHARAT,2351.40,5.18,2366.00,14.60,62.77,83.77,0.39,-0.04,-20.99,0.42
NIFTY Infrastructure,ETERNAL,315.50,2.50,316.90,1.40,97.91,90.15,0.52,0.40,7.76,0.12
NIFTY Infrastructure,GMRAIRPORT,86.43,-4.03,86.83,0.40,97.55,91.82,0.57,0.58,5.73,-0.01
NIFTY Infrastructure,GRASIM,2784.30,1.38,2800.00,15.70,99.16,96.04,0.60,0.50,3.12,0.09
NIFTY Infrastructure,HFCL,69.71,-7.75,69.84,0.13,96.75,93.48,0.40,0.60,3.26,-0.20
NIFTY Infrastructure,INDHOTEL,765.15,3.29,769.90,4.75,97.44,92.78,0.68,0.60,4.66,0.08
NIFTY Infrastructure,LT,3560.10,-2.10,3573.70,13.60,95.35,90.23,0.54,0.51,5.12,0.03
NIFTY Infrastructure,NCC,207.93,-4.49,209.11,1.18,89.50,87.91,0.40,0.54,1.59,-0.14
NIFTY Infrastructure,RVNL,308.65,-11.35,300.45,-8.20,95.96,88.84,-2.59,0.51,7.12,-3.10
NIFTY Infrastructure,SHREECEM,29675.00,-3.68,29845.00,170.00,93.25,85.45,0.51,0.02,7.80,0.49
NIFTY Infrastructure,ULTRACEMCO,12521.00,2.22,12605.00,84.00,94.80,93.70,0.58,0.48,1.10,0.10
NIFTY Infrastructure,UPL,716.70,1.83,710.80,-5.90,94.79,93.02,-0.58,0.48,1.77,-1.06
NIFTY Metal,ADANIENT,2275.20,-6.40,2287.10,11.90,93.53,94.12,0.60,0.64,-0.59,-0.04
NIFTY Metal,HINDALCO,701.40,2.69,703.85,2.45,94.98,92.42,0.65,0.42,2.56,0.23
NIFTY Metal,HINDZINC,421.70,-0.55,423.85,2.15,97.11,93.48,0.57,0.60,3.63,-0.03
NIFTY Metal,JINDALSTEL,964.70,-0.03,967.05,2.35,96.23,88.58,0.30,0.58,7.65,-0.28
NIFTY Metal,JSWSTEEL,1035.80,-1.19,1042.80,7.00,98.85,96.61,0.59,0.58,2.24,0.00
NIFTY Metal,NATIONALUM,184.79,-0.15,183.71,-1.08,89.06,92.24,-0.54,0.63,-3.18,-1.16
NIFTY Metal,NMDC,68.73,-2.91,69.19,0.46,89.86,91.70,0.70,0.31,-1.83,0.39
NIFTY Metal,SAIL,119.25,-3.99,118.34,-0.91,94.66,92.35,-0.70,0.58,2.31,-1.28
NIFTY Metal,TATACHEM,917.80,-6.59,922.20,4.40,88.86,90.91,0.54,0.39,-2.06,0.16
NIFTY Metal,TATASTEEL,153.63,-2.73,154.20,0.57,96.03,88.12,0.68,0.66,7.91,0.03
NIFTY Metal,VEDL,424.50,-0.27,427.15,2.65,97.04,93.90,0.59,0.57,3.14,0.02
NIFTY Oil & Gas,GAIL,171.22,-3.64,172.02,0.80,92.89,92.79,0.54,0.41,0.09,0.13
NIFTY Oil & Gas,GAIL,171.22,-3.64,172.02,0.80,92.89,92.79,0.54,0.41,0.09,0.13
NIFTY Oil & Gas,HINDPETRO,381.75,-8.77,384.05,2.30,83.88,89.90,0.67,0.45,-6.01,0.22
NIFTY Oil & Gas,IGL,206.68,0.79,205.95,-0.73,78.36,86.40,-0.27,0.21,-8.04,-0.48
NIFTY Oil & Gas,IOC,138.49,-4.90,139.29,0.80,91.80,82.28,0.64,0.51,9.52,0.13
NIFTY Oil & Gas,OIL,390.50,-11.25,390.85,0.35,95.46,86.41,0.13,0.39,9.05,-0.26
NIFTY Oil & Gas,ONGC,233.39,-3.16,233.41,0.02,92.88,85.48,0.02,0.48,7.40,-0.46
