Sectoral Index,Symbol,Spot,M_o_M%,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost
0,ABFRL,72.87,-2.04,73.22,0.35,93.90,0.00,0.52,0.00,93.90,0.52
0,CESC,169.51,-2.12,170.04,0.53,92.85,0.00,0.58,0.00,92.85,0.58
0,GRANULES,474.90,-4.43,476.80,1.90,95.78,0.00,0.52,0.00,95.78,0.52
0,IRB,45.07,-10.29,45.27,0.20,93.60,0.00,0.53,0.00,93.60,0.53
0,JSL,694.10,0.01,695.70,1.60,69.11,0.00,0.43,0.00,69.11,0.43
0,POONAWALLA,422.25,-6.09,423.95,1.70,82.03,0.00,0.41,0.00,82.03,0.41
0,SJVN,93.62,-6.38,94.03,0.41,85.84,0.00,0.44,0.00,85.84,0.44
NIFTY Airlines/Logistics,CONCOR,578.20,-23.34,579.40,1.20,93.71,0.00,0.41,0.00,93.71,0.41
NIFTY Airlines/Logistics,DELHIVERY,425.25,10.51,428.10,2.85,95.96,0.00,0.40,0.00,95.96,0.40
NIFTY Airlines/Logistics,IRCTC,726.05,-6.08,728.30,2.25,92.27,0.00,0.50,0.00,92.27,0.50
NIFTY Airlines/Logistics,TATATECH,702.25,-0.18,706.00,3.75,95.26,0.00,0.61,0.00,95.26,0.61
NIFTY Airlines/Logistics,TITAGARH,860.15,-8.38,864.70,4.55,93.93,0.00,0.44,0.00,93.93,0.44
NIFTY Auto,ASHOKLEY,121.05,-51.37,121.75,0.70,96.12,0.00,0.37,0.00,96.12,0.37
NIFTY Auto,BHARATFORG,1169.10,-9.13,1171.50,2.40,94.94,0.00,0.35,0.00,94.94,0.35
NIFTY Auto,BOSCHLTD,40385.00,25.36,40495.00,110.00,91.81,0.00,0.46,0.00,91.81,0.46
NIFTY Auto,EICHERMOT,5468.50,-2.55,5424.50,-44.00,93.14,0.00,-0.66,0.00,93.14,-0.66
NIFTY Auto,EXIDEIND,384.30,-1.17,385.70,1.40,94.56,0.00,0.52,0.00,94.56,0.52
NIFTY Auto,HEROMOTOCO,4260.70,-0.40,4225.00,-35.70,91.97,0.00,-0.83,0.00,91.97,-0.83
NIFTY Auto,MARUTI,12608.00,-0.84,12551.00,-57.00,97.71,0.00,-0.58,0.00,97.71,-0.58
NIFTY Auto,MOTHERSON,97.17,-37.06,97.68,0.51,94.47,0.00,0.63,0.00,94.47,0.63
NIFTY Auto,SONACOMS,449.55,-6.50,451.15,1.60,86.91,0.00,0.01,0.00,86.91,0.01
NIFTY Auto,TATAMOTORS,665.95,-2.46,668.40,2.45,95.07,0.00,0.61,0.00,95.07,0.61
NIFTY Auto,TIINDIA,2840.70,-5.48,2852.70,12.00,92.06,0.00,0.62,0.00,92.06,0.62
NIFTY Auto,TVSMOTOR,2801.80,-4.34,2806.10,4.30,83.48,0.00,0.22,0.00,83.48,0.22
NIFTY Auto,UNOMINDA,1041.40,-3.64,1047.70,6.30,85.70,0.00,0.42,0.00,85.70,0.42
NIFTY Aviation,INDIGO,5910.50,3.85,5880.50,-30.00,92.78,0.00,-0.28,0.00,92.78,-0.28
NIFTY Bank,AUBANK,741.50,-9.54,746.05,4.55,95.95,0.00,0.47,0.00,95.95,0.47
NIFTY Bank,INDUSINDBK,798.90,-4.45,803.70,4.80,94.87,0.00,0.63,0.00,94.87,0.63
NIFTY Consumer Durables,AMBER,7963.50,17.34,7995.00,31.50,94.93,0.00,0.41,0.00,94.93,0.41
NIFTY Consumer Durables,ASIANPAINT,2396.10,4.64,2404.60,8.50,90.62,0.00,0.43,0.00,90.62,0.43
NIFTY Consumer Durables,ASTRAL,1401.20,-7.96,1408.60,7.40,91.58,0.00,0.48,0.00,91.58,0.48
NIFTY Consumer Durables,BLUESTARCO,1738.10,4.65,1743.90,5.80,88.97,0.00,0.26,0.00,88.97,0.26
NIFTY Consumer Durables,CROMPTON,323.00,-9.71,324.85,1.85,98.25,0.00,0.51,0.00,98.25,0.51
NIFTY Consumer Durables,DIXON,16841.00,17.65,16890.00,49.00,87.81,0.00,0.46,0.00,87.81,0.46
NIFTY Consumer Durables,HAVELLS,1500.60,-4.66,1509.40,8.80,93.94,0.00,0.35,0.00,93.94,0.35
NIFTY Consumer Durables,KALYANKJIL,594.70,7.47,596.70,2.00,92.56,0.00,0.31,0.00,92.56,0.31
NIFTY Consumer Durables,PGEL,811.65,7.74,817.60,5.95,97.11,0.00,0.70,0.00,97.11,0.70
NIFTY Consumer Durables,PIDILITIND,2869.80,-4.97,2885.60,15.80,94.97,0.00,0.41,0.00,94.97,0.41
NIFTY Consumer Durables,POLYCAB,6821.00,5.45,6837.00,16.00,92.94,0.00,0.54,0.00,92.94,0.54
NIFTY Consumer Durables,SUPREMEIND,4306.90,-1.55,4323.50,16.60,93.09,0.00,0.55,0.00,93.09,0.55
NIFTY Consumer Durables,TITAN,3347.30,-9.40,3359.10,11.80,95.11,0.00,0.52,0.00,95.11,0.52
NIFTY Consumer Durables,VOLTAS,1327.70,0.80,1314.50,-13.20,85.91,0.00,-1.14,0.00,85.91,-1.14
NIFTY Defense,BDL,1619.00,-11.40,1627.10,8.10,92.53,0.00,0.51,0.00,92.53,0.51
NIFTY Defense,BEL,383.10,-6.58,384.90,1.80,93.44,0.00,0.43,0.00,93.44,0.43
NIFTY Defense,HAL,4533.90,-5.88,4536.50,2.60,91.50,0.00,0.29,0.00,91.50,0.29
NIFTY Defense,MAZDOCK,2771.20,-11.23,2779.00,7.80,93.16,0.00,0.53,0.00,93.16,0.53
NIFTY Diversified,ADANIPORTS,1373.10,-3.93,1380.90,7.80,94.21,0.00,0.43,0.00,94.21,0.43
NIFTY Diversified,PIIND,4250.90,2.72,4255.00,4.10,96.57,0.00,-0.05,0.00,96.57,-0.05
NIFTY Energy,ADANIENSOL,808.40,-6.52,811.40,3.00,96.24,0.00,0.54,0.00,96.24,0.54
NIFTY Energy,ADANIGREEN,984.70,-0.74,988.20,3.50,96.06,0.00,0.50,0.00,96.06,0.50
NIFTY Energy,BPCL,329.30,-0.14,328.45,-0.85,78.22,0.00,-0.23,0.00,78.22,-0.23
NIFTY Energy,COALINDIA,376.35,-4.52,370.70,-5.65,87.78,0.00,-1.39,0.00,87.78,-1.39
NIFTY Energy,JSWENERGY,515.05,-0.37,517.80,2.75,90.85,0.00,0.67,0.00,90.85,0.67
NIFTY Energy,NHPC,83.25,-2.49,83.24,-0.01,77.45,0.00,0.10,0.00,77.45,0.10
NIFTY Energy,NTPC,334.25,-0.86,335.80,1.55,95.81,0.00,0.37,0.00,95.81,0.37
NIFTY Energy,POWERGRID,291.00,-0.85,291.90,0.90,89.11,0.00,0.07,0.00,89.11,0.07
NIFTY Energy,TATAPOWER,397.75,-1.95,399.70,1.95,96.58,0.00,0.54,0.00,96.58,0.54
NIFTY Energy,TORNTPOWER,1310.00,-10.32,1317.80,7.80,94.41,0.00,0.56,0.00,94.41,0.56
NIFTY FMCG,BRITANNIA,5771.00,-0.98,5727.00,-44.00,96.40,0.00,-0.74,0.00,96.40,-0.74
NIFTY FMCG,COLPAL,2245.30,-5.49,2258.00,12.70,96.21,0.00,0.61,0.00,96.21,0.61
NIFTY FMCG,DABUR,529.00,9.85,531.35,2.35,94.52,0.00,0.46,0.00,94.52,0.46
NIFTY FMCG,GODREJCP,1259.00,6.31,1259.90,0.90,82.53,0.00,0.14,0.00,82.53,0.14
NIFTY FMCG,HINDUNILVR,2521.20,10.54,2532.50,11.30,86.13,0.00,0.64,0.00,86.13,0.64
NIFTY FMCG,ITC,411.95,-1.99,413.15,1.20,95.73,0.00,0.55,0.00,95.73,0.55
NIFTY FMCG,JUBLFOOD,655.50,-7.83,657.95,2.45,96.35,0.00,0.49,0.00,96.35,0.49
NIFTY FMCG,MARICO,709.80,-2.27,705.25,-4.55,97.97,0.00,-0.41,0.00,97.97,-0.41
NIFTY FMCG,NESTLEIND,2247.70,-7.56,2257.80,10.10,94.64,0.00,0.51,0.00,94.64,0.51
NIFTY FMCG,PATANJALI,1873.70,13.39,1881.10,7.40,89.83,0.00,0.58,0.00,89.83,0.58
NIFTY FMCG,TATACONSUM,1073.20,-6.30,1076.40,3.20,96.71,0.00,0.48,0.00,96.71,0.48
NIFTY FMCG,TRENT,5018.00,-17.83,5040.50,22.50,88.88,0.00,0.45,0.00,88.88,0.45
NIFTY FMCG,UNITDSPR,1340.20,-7.22,1338.00,-2.20,94.87,0.00,0.01,0.00,94.87,0.01
