Sectoral Index,Symbol,Spot,Future Price,Basis,Rollover%,Avg. Roll Over,Rollover cost,Avg. Rollover Cost,Diff Rollover%,Diff Rollover Cost,M_o_M%
0,POWERINDIA,16956.00,17010.00,54.00,96.74,0.00,0.54,0.00,96.74,0.54,-5.81
0,SAMMAANCAP,187.26,189.15,1.89,93.27,96.24,1.26,0.55,-2.97,0.71,16.41
NIFTY Airlines/Logistics,CONCOR,541.20,541.90,0.70,94.75,94.77,0.22,0.55,-0.02,-0.33,2.93
NIFTY Airlines/Logistics,DELHIVERY,475.80,478.65,2.85,96.54,88.87,0.77,0.41,7.67,0.36,5.72
NIFTY Airlines/Logistics,IRCTC,721.70,723.20,1.50,93.72,94.75,0.31,0.60,-1.03,-0.29,3.04
NIFTY Airlines/Logistics,TATATECH,695.50,699.40,3.90,96.08,93.60,0.65,-0.19,2.47,0.84,3.88
NIFTY Airlines/Logistics,TITAGARH,892.80,900.40,7.60,97.21,89.12,0.59,0.35,8.09,0.24,2.29
NIFTY Auto,ASHOKLEY,140.10,137.74,-2.36,92.65,92.28,-1.94,0.22,0.38,-2.16,-1.80
NIFTY Auto,BHARATFORG,1308.10,1305.90,-2.20,96.20,91.89,-0.14,0.16,4.31,-0.30,7.89
NIFTY Auto,BOSCHLTD,38540.00,38770.00,230.00,95.70,93.06,0.67,0.37,2.64,0.30,1.04
NIFTY Auto,EICHERMOT,7002.50,7033.00,30.50,95.45,88.87,0.46,0.32,6.58,0.14,-0.04
NIFTY Auto,EXIDEIND,380.70,382.80,2.10,96.67,94.60,0.63,0.56,2.07,0.07,-2.57
NIFTY Auto,HEROMOTOCO,5609.50,5630.50,21.00,94.27,89.86,0.45,-0.22,4.41,0.67,2.50
NIFTY Auto,MARUTI,16311.00,16424.00,113.00,89.85,78.28,0.63,0.29,11.58,0.34,1.76
NIFTY Auto,MOTHERSON,106.98,107.49,0.51,97.92,95.81,0.61,0.57,2.11,0.04,1.26
NIFTY Auto,SONACOMS,484.35,486.25,1.90,95.56,91.42,0.64,-0.28,4.14,0.92,17.63
NIFTY Auto,TIINDIA,3125.50,3141.80,16.30,97.97,90.76,0.59,0.60,7.21,-0.01,0.93
NIFTY Auto,TVSMOTOR,3562.00,3574.80,12.80,95.99,89.06,0.49,0.40,6.94,0.08,3.59
NIFTY Auto,UNOMINDA,1201.20,1208.20,7.00,94.17,92.66,0.59,0.44,1.51,0.16,-7.51
NIFTY Aviation,INDIGO,5809.00,5822.50,13.50,97.27,94.62,0.34,0.39,2.65,-0.05,3.83
NIFTY Bank,AUBANK,879.90,884.10,4.20,94.08,93.42,0.24,-0.21,0.67,0.46,20.30
NIFTY Bank,INDUSINDBK,799.75,804.00,4.25,96.12,91.08,0.61,0.61,5.04,-0.00,8.73
NIFTY Consumer Durables,AMBER,8526.50,8323.50,-203.00,90.74,89.19,-2.55,-0.12,1.55,-2.43,5.41
NIFTY Consumer Durables,ASIANPAINT,2509.30,2519.40,10.10,94.63,90.55,0.53,0.38,4.08,0.15,6.78
NIFTY Consumer Durables,ASTRAL,1450.20,1459.80,9.60,95.96,92.96,0.48,0.37,3.00,0.11,6.13
NIFTY Consumer Durables,BLUESTARCO,1951.60,1958.30,6.70,86.23,81.97,0.35,0.13,4.25,0.22,3.75
NIFTY Consumer Durables,CROMPTON,290.30,291.35,1.05,97.63,97.95,0.57,0.42,-0.32,0.15,-0.34
NIFTY Consumer Durables,DIXON,15372.00,15471.00,99.00,92.66,89.08,0.57,0.51,3.58,0.06,-5.82
NIFTY Consumer Durables,HAVELLS,1480.60,1487.30,6.70,89.68,89.82,0.53,0.48,-0.14,0.06,-1.42
NIFTY Consumer Durables,KALYANKJIL,504.90,508.20,3.30,95.15,87.94,0.73,0.35,7.21,0.38,11.14
NIFTY Consumer Durables,PGEL,565.30,568.40,3.10,95.34,94.33,0.67,0.61,1.01,0.06,12.54
NIFTY Consumer Durables,PIDILITIND,1492.00,1500.10,8.10,97.25,94.69,0.54,0.45,2.56,0.09,1.63
NIFTY Consumer Durables,POLYCAB,7510.00,7559.50,49.50,77.79,90.88,0.77,0.53,-13.08,0.24,3.07
NIFTY Consumer Durables,SUPREMEIND,3814.20,3829.10,14.90,95.99,93.72,0.39,0.43,2.27,-0.04,-9.61
NIFTY Consumer Durables,TITAN,3717.00,3734.40,17.40,89.59,94.34,0.71,0.43,-4.75,0.28,10.40
NIFTY Consumer Durables,VOLTAS,1428.40,1386.20,-42.20,95.62,90.85,-2.98,-0.38,4.77,-2.60,5.53
NIFTY Defense,BDL,1517.60,1526.50,8.90,95.75,91.83,0.71,0.58,3.92,0.12,1.63
NIFTY Defense,BEL,413.55,415.95,2.40,95.83,93.60,0.59,0.55,2.23,0.04,2.38
NIFTY Defense,HAL,4724.50,4755.40,30.90,96.54,93.97,0.58,0.53,2.57,0.05,-0.46
NIFTY Defense,MAZDOCK,2780.40,2792.50,12.10,96.36,93.16,0.38,0.56,3.20,-0.18,0.68
NIFTY Diversified,ADANIPORTS,1417.90,1427.70,9.80,97.91,92.92,0.67,0.50,4.99,0.17,1.03
NIFTY Diversified,PIIND,3587.20,3606.50,19.30,97.23,92.60,0.68,0.40,4.63,0.28,2.10
NIFTY Energy,ADANIENSOL,921.20,926.60,5.40,97.78,96.20,0.68,0.63,1.57,0.05,5.61
NIFTY Energy,ADANIGREEN,1004.20,1009.80,5.60,96.60,93.75,0.61,0.70,2.84,-0.09,-2.21
NIFTY Energy,BPCL,340.65,341.25,0.60,67.50,85.65,0.13,0.33,-18.14,-0.20,0.29
NIFTY Energy,COALINDIA,391.40,388.60,-2.80,73.24,92.09,-0.73,0.24,-18.85,-0.96,0.37
NIFTY Energy,JSWENERGY,536.35,539.60,3.25,98.09,96.51,0.91,0.58,1.58,0.34,1.04
NIFTY Energy,NHPC,84.63,85.19,0.56,96.99,88.03,0.73,0.53,8.96,0.20,-1.96
NIFTY Energy,NTPC,339.15,338.65,-0.50,92.64,91.30,-0.18,0.39,1.34,-0.56,-0.38
NIFTY Energy,POWERGRID,288.25,285.95,-2.30,91.93,90.40,-0.78,0.47,1.53,-1.25,2.85
NIFTY Energy,SUZLON,56.22,56.65,0.43,95.68,91.13,0.60,0.50,4.55,0.10,2.13
NIFTY Energy,TATAPOWER,398.65,401.25,2.60,95.62,95.54,0.75,0.54,0.07,0.21,2.57
NIFTY Energy,TORNTPOWER,1277.20,1286.60,9.40,95.53,90.06,0.60,0.51,5.47,0.09,4.78
NIFTY FMCG,BRITANNIA,5861.00,5899.50,38.50,91.23,93.42,0.42,0.29,-2.20,0.13,-2.17
NIFTY FMCG,COLPAL,2232.70,2219.40,-13.30,97.06,90.45,-0.46,0.05,6.61,-0.51,0.46
NIFTY FMCG,DABUR,503.40,501.90,-1.50,84.36,94.64,-0.13,0.43,-10.27,-0.56,2.46
NIFTY FMCG,GODREJCP,1115.50,1116.80,1.30,88.81,89.82,-0.04,0.19,-1.01,-0.23,-4.40
NIFTY FMCG,HINDUNILVR,2497.10,2492.00,-5.10,94.18,89.89,-0.39,0.46,4.29,-0.85,-0.69
NIFTY FMCG,ITC,417.90,420.45,2.55,96.49,91.90,0.73,0.62,4.60,0.11,4.07
NIFTY FMCG,JUBLFOOD,600.75,604.25,3.50,96.06,93.21,0.64,0.50,2.85,0.14,-2.70
NIFTY FMCG,MARICO,720.05,725.25,5.20,98.01,96.47,0.60,0.33,1.54,0.27,3.25
NIFTY FMCG,NESTLEIND,1271.00,1278.60,7.60,89.28,93.99,0.68,0.45,-4.71,0.23,10.24
NIFTY FMCG,PATANJALI,593.65,597.25,3.60,95.86,95.73,0.56,0.59,0.14,-0.03,3.10
NIFTY FMCG,TATACONSUM,1168.90,1174.20,5.30,98.60,95.43,0.50,0.51,3.17,-0.01,3.51
NIFTY FMCG,TRENT,4725.40,4749.10,23.70,96.51,92.68,0.62,0.52,3.83,0.10,1.02
NIFTY FMCG,UNITDSPR,1351.80,1360.50,8.70,97.81,94.18,0.67,0.55,3.62,0.12,2.08
NIFTY FMCG,VBL,454.15,457.60,3.45,98.37,90.69,0.79,0.52,7.67,0.27,2.36
NIFTY Financial Services,360ONE,1171.80,1175.90,4.10,91.20,67.14,0.62,0.30,24.06,0.33,14.43
NIFTY Financial Services,ABCAPITAL,312.60,314.35,1.75,98.02,94.24,0.74,0.55,3.78,0.19,6.93
NIFTY Financial Services,ANGELONE,2537.90,2551.30,13.40,88.42,82.41,0.50,-0.41,6.02,0.90,19.01
NIFTY Financial Services,BAJAJFINSV,2140.20,2152.00,11.80,88.22,93.44,0.70,0.56,-5.22,0.14,6.67
